ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
3701883.0,Finished,29 novembre 2021  4:08 ,29 novembre 2021  5:24 ,76.0,16.34,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.66,0.24,5.85,0.98
21116436.0,Finished,29 novembre 2021  4:01 ,29 novembre 2021  5:35 ,94.0,12.93,1.22,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,4.88,0.00
28601301.0,Finished,29 novembre 2021  4:14 ,29 novembre 2021  5:21 ,66.0,15.12,2.20,0.24,0.98,0.24,0.24,0.24,0.49,0.00,4.63,0.00,5.85,0.00
21114731.0,Finished,30 novembre 2021  4:20 ,30 novembre 2021  5:08 ,47.97,19.27,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.24,4.63,0.24,7.80,0.98
28600559.0,Finished,29 novembre 2021  4:09 ,29 novembre 2021  5:24 ,74.0,16.10,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,4.88,0.98
28717594.0,Finished,2 décembre 2021  6:10 ,2 décembre 2021  6:56 ,46.12,16.34,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.00
3800162.0,Finished,30 novembre 2021  4:02 ,30 novembre 2021  4:57 ,54.33,19.27,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,7.80,0.98
21109170.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:46 ,93.0,16.10,2.44,0.24,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
21100776.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:18 ,65.0,14.39,2.20,0.73,0.98,0.24,0.24,0.00,0.49,0.00,3.66,0.00,4.88,0.98
3802257.0,Finished,30 novembre 2021  5:19 ,30 novembre 2021  5:25 ,5.52,12.20,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,0.24,0.24,5.85,0.00
28610667.0,Finished,29 novembre 2021  4:11 ,29 novembre 2021  5:39 ,87.0,16.34,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
3672320.0,Finished,30 novembre 2021  4:09 ,30 novembre 2021  5:27 ,78.0,16.34,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.00
28620155.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:24 ,85.0,15.85,1.71,0.98,0.73,0.24,0.24,0.00,0.49,0.24,4.15,0.24,5.85,0.98
3415756.0,Finished,30 novembre 2021  3:56 ,30 novembre 2021  5:01 ,65.0,15.37,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.15,0.00,5.85,0.00
