ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.11,Q. 2 /1.11,Q. 3 /1.11,Q. 4 /1.11,Q. 5 /0.56,Q. 6 /1.11,Q. 7 /1.11,Q. 8 /0.56,Q. 9 /1.11,Q. 10 /2.22,Q. 11 /5.56,Q. 12 /1.11,Q. 13 /2.22
28600712.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:46 ,102.0,18.23,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,2.22,5.45,1.11,2.22
28610127.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,12.98,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,5.20,1.11,-
28610328.0,Finished,9 décembre 2021  6:07 ,9 décembre 2021  7:52 ,104.0,13.64,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,4.19,0.00,0.00
28717871.0,Finished,6 décembre 2021  3:58 ,6 décembre 2021  5:43 ,105.0,15.40,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,4.29,1.11,-
28601343.0,Finished,9 décembre 2021  6:00 ,9 décembre 2021  7:45 ,104.0,10.45,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,3.79,0.00,0.00
3603679.0,Finished,8 décembre 2021  10:58 ,8 décembre 2021  12:28 ,89.0,15.96,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.56,0.00,5.40,0.00,2.22
3809215.0,Finished,9 décembre 2021  6:06 ,9 décembre 2021  7:50 ,104.0,11.72,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,4.49,0.00,0.00
28603036.0,Finished,8 décembre 2021  10:54 ,8 décembre 2021  12:12 ,78.0,13.38,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.05,1.11,0.00
21109001.0,Finished,6 décembre 2021  4:00 ,6 décembre 2021  5:46 ,105.0,15.66,1.11,1.11,1.11,1.11,0.56,0.00,1.11,0.56,0.00,2.22,3.43,1.11,2.22
28602830.0,Finished,6 décembre 2021  4:04 ,6 décembre 2021  5:30 ,85.0,7.37,1.11,1.11,1.11,0.00,0.00,0.56,1.11,0.56,0.00,0.00,1.82,0.00,0.00
21102696.0,Finished,10 décembre 2021  11:04 ,10 décembre 2021  12:17 ,73.0,18.18,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,2.22,5.40,1.11,2.22
28716807.0,Finished,7 décembre 2021  4:01 ,7 décembre 2021  5:45 ,104.0,12.37,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,0.00,0.00,5.15,1.11,0.00
28600602.0,Finished,6 décembre 2021  4:09 ,6 décembre 2021  5:49 ,100.0,10.10,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.56,0.00,0.00,3.43,0.00,0.00
28600518.0,Finished,9 décembre 2021  6:09 ,9 décembre 2021  7:54 ,105.0,17.22,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,3.89,0.00,2.22
28636372.0,Finished,7 décembre 2021  4:02 ,7 décembre 2021  5:31 ,88.0,14.39,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,2.22,3.84,1.11,0.00
28602737.0,Finished,7 décembre 2021  3:56 ,7 décembre 2021  5:37 ,100.0,16.62,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,3.84,1.11,2.22
28600880.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:37 ,105.0,17.07,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.00,0.00,2.22,5.40,0.00,2.22
28603735.0,Finished,6 décembre 2021  4:05 ,6 décembre 2021  5:44 ,98.0,13.18,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,0.00,2.22,4.85,0.00,0.00
3808834.0,Finished,6 décembre 2021  3:57 ,6 décembre 2021  5:42 ,105.0,10.76,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,2.98,0.00,0.00
