ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.00,Q. 3 /0.35,Q. 4 /2.11,Q. 5 /0.35,Q. 6 /4.21,Q. 7 /0.35,Q. 8 /4.91,Q. 9 /1.05,Q. 10 /3.16,Q. 11 /3.51
28600492.0,Finished,20 septembre 2021  4:04 ,20 septembre 2021  5:00 ,56.18,18.60,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
28600464.0,Finished,21 septembre 2021  4:12 ,21 septembre 2021  5:07 ,55.63,19.02,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.53,3.51
28506638.0,Finished,22 septembre 2021  11:05 ,22 septembre 2021  11:54 ,49.43,18.60,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3800477.0,Finished,22 septembre 2021  11:06 ,22 septembre 2021  12:51 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-
28604304.0,Finished,20 septembre 2021  4:05 ,20 septembre 2021  4:55 ,50.12,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28608396.0,Finished,21 septembre 2021  4:12 ,21 septembre 2021  5:09 ,57.47,18.63,-,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,2.84,3.16
3708782.0,Finished,21 septembre 2021  4:06 ,21 septembre 2021  5:21 ,74.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28610448.0,Finished,22 septembre 2021  10:57 ,22 septembre 2021  11:42 ,45.3,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28610117.0,Finished,23 septembre 2021  6:03 ,23 septembre 2021  6:45 ,42.32,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28607314.0,Finished,24 septembre 2021  12:30 ,24 septembre 2021  2:13 ,102.0,14.04,-,-,0.35,1.05,0.35,2.11,0.35,2.46,0.70,3.16,3.51
3800583.0,Finished,22 septembre 2021  10:57 ,22 septembre 2021  11:40 ,43.62,15.09,-,-,0.35,2.11,0.35,2.11,0.35,2.46,0.70,3.16,3.51
