ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.36,Q. 2 /0.36,Q. 3 /0.36,Q. 4 /0.36,Q. 5 /1.45,Q. 6 /0.36,Q. 7 /0.36,Q. 8 /1.45,Q. 9 /0.73,Q. 10 /4.36,Q. 11 /0.36,Q. 12 /1.45,Q. 13 /1.45,Q. 14 /4.36,Q. 15 /0.73,Q. 16 /1.45
21114731.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:37 ,87.0,19.40,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.13,0.36,1.45,1.45,4.36,0.73,1.09
28600559.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:22 ,80.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28610130.0,Finished,23 novembre 2021  4:27 ,23 novembre 2021  5:56 ,88.0,17.16,0.00,0.36,0.36,0.36,1.45,0.36,0.36,0.73,0.73,4.36,0.00,0.73,1.16,4.36,0.73,1.09
28717594.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  7:26 ,89.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28614924.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:51 ,100.0,17.45,0.36,0.36,0.36,0.36,1.45,0.36,0.36,0.73,0.73,4.36,0.00,0.73,1.45,4.00,0.73,1.09
3800162.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:29 ,78.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
21100776.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:29 ,74.0,16.55,0.36,0.36,0.36,0.36,1.36,0.36,0.36,1.45,0.36,3.18,0.00,1.45,1.45,4.00,0.73,0.36
3802257.0,Finished,23 novembre 2021  4:27 ,23 novembre 2021  5:03 ,36.15,17.76,0.00,0.36,0.00,0.36,1.36,0.36,0.36,1.45,0.73,3.30,0.36,1.45,1.45,4.00,0.73,1.45
3672320.0,Finished,23 novembre 2021  4:11 ,23 novembre 2021  5:32 ,80.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.00,1.45,1.45,4.00,0.73,1.45
28610190.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:11 ,75.0,19.52,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,4.36,0.73,1.45
3812676.0,Finished,25 novembre 2021  6:04 ,25 novembre 2021  7:20 ,76.0,17.55,0.36,0.36,0.00,0.36,1.18,0.36,0.36,0.00,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28607223.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:24 ,83.0,18.55,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.09,1.45,3.64,0.73,1.09
28620155.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:38 ,102.0,17.22,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.13,0.36,1.45,1.45,2.55,0.00,1.45
3415756.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:24 ,74.0,17.82,0.36,0.36,0.36,0.36,1.45,0.00,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.36,0.73
3522190.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:32 ,77.0,20.00,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.45
28605064.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:21 ,85.0,18.47,0.00,0.00,0.36,0.36,1.36,0.36,0.36,1.45,0.73,3.66,0.36,1.45,1.45,4.36,0.73,1.45
28617603.0,Finished,22 novembre 2021  4:03 ,22 novembre 2021  5:44 ,100.0,17.64,0.00,0.36,0.00,0.36,1.36,0.36,0.36,1.45,0.73,3.18,0.36,1.45,1.45,4.00,0.73,1.45
28600712.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:36 ,81.0,19.82,0.36,0.36,0.36,0.36,1.45,0.18,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.45
28717871.0,Finished,22 novembre 2021  4:03 ,22 novembre 2021  5:35 ,91.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28601343.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  7:19 ,82.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.73,1.45
3809215.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  7:22 ,85.0,19.52,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,4.36,0.73,1.45
28603036.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:08 ,72.0,18.57,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,3.66,0.36,1.45,1.45,4.00,0.73,1.09
21109001.0,Finished,22 novembre 2021  4:03 ,22 novembre 2021  5:46 ,102.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
28720778.0,Finished,22 novembre 2021  4:07 ,22 novembre 2021  5:52 ,105.0,9.12,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,3.30,-,-,-,-,-,-
21102696.0,Finished,26 novembre 2021  10:45 ,26 novembre 2021  11:45 ,59.62,18.55,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.73,1.45
21104636.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:15 ,73.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28600518.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  7:04 ,66.0,17.41,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,1.77,0.36,1.45,1.45,4.36,0.73,1.45
21113317.0,Finished,22 novembre 2021  4:20 ,22 novembre 2021  5:59 ,98.0,12.30,0.00,0.36,0.00,0.00,1.36,0.00,0.18,0.73,0.36,2.24,0.36,0.73,0.87,3.64,0.73,0.73
28636372.0,Finished,23 novembre 2021  4:11 ,23 novembre 2021  5:13 ,62.0,17.91,0.00,0.36,0.00,0.36,1.18,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.73,1.09
28602737.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:34 ,83.0,18.18,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.00,1.45,1.45,3.27,0.73,1.09
28600880.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:06 ,69.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,0.73
3805942.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:34 ,92.0,18.91,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,0.73
28009976.0,Finished,25 novembre 2021  5:58 ,25 novembre 2021  7:00 ,61.0,18.55,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.27,0.73,1.09
3700903.0,Finished,26 novembre 2021  10:46 ,26 novembre 2021  12:02 ,75.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28606375.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:33 ,97.0,18.06,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,2.55,0.73,1.45
2800282.0,Finished,23 novembre 2021  4:16 ,23 novembre 2021  6:01 ,105.0,8.93,0.00,0.36,0.00,0.36,1.45,0.00,0.36,0.00,0.73,3.18,0.36,1.45,0.29,-,0.36,0.00
28607006.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:06 ,64.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
21120079.0,Finished,22 novembre 2021  4:03 ,22 novembre 2021  5:47 ,104.0,18.91,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,0.73
28617513.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:54 ,103.0,17.09,0.00,0.00,0.00,0.36,1.45,0.36,0.00,1.09,0.73,4.36,0.36,1.09,1.45,4.00,0.73,1.09
3800992.0,Finished,25 novembre 2021  5:59 ,25 novembre 2021  7:35 ,96.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28705217.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:45 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3801541.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:31 ,90.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
21119283.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:45 ,103.0,17.02,0.36,0.36,0.36,0.36,1.36,0.00,0.36,1.45,0.73,3.66,0.36,1.45,1.45,3.64,0.36,0.73
28600456.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:23 ,86.0,19.52,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.09,0.73,4.25,0.36,1.45,1.45,4.36,0.73,1.45
21116094.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:31 ,75.0,18.91,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.45
28606345.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:19 ,83.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28600150.0,Finished,24 novembre 2021  10:57 ,24 novembre 2021  12:42 ,105.0,18.55,0.00,0.00,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.73,1.45
3800191.0,Finished,25 novembre 2021  6:47 ,25 novembre 2021  8:32 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3800191.0,Finished,26 novembre 2021  8:41 ,26 novembre 2021  9:39 ,58.32,18.73,0.00,0.36,0.00,0.36,1.45,0.18,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28600741.0,Finished,22 novembre 2021  4:09 ,22 novembre 2021  5:43 ,94.0,19.64,0.00,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.45
28609954.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:30 ,80.0,17.34,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,2.18,0.73,1.09
21113585.0,Finished,25 novembre 2021  6:00 ,25 novembre 2021  7:35 ,95.0,17.89,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.16,3.27,0.73,1.09
28607755.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:09 ,72.0,19.35,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.16,4.36,0.73,1.09
28600693.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:40 ,84.0,18.91,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,0.73
28601765.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:45 ,102.0,18.31,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.13,0.36,1.45,1.45,4.36,0.73,0.73
28607704.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:25 ,83.0,20.00,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.45
3970759.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:13 ,71.0,13.52,0.36,0.36,0.36,0.36,1.09,0.00,0.36,1.45,0.36,2.83,0.36,1.45,0.87,2.55,0.00,0.73
28601285.0,Finished,22 novembre 2021  4:03 ,22 novembre 2021  5:37 ,94.0,18.55,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,0.73
21101133.0,Finished,25 novembre 2021  6:00 ,25 novembre 2021  6:47 ,47.83,18.55,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.73,0.73
3703980.0,Finished,26 novembre 2021  10:50 ,26 novembre 2021  12:06 ,76.0,18.93,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.09,0.73,3.66,0.36,1.45,1.45,4.36,0.73,1.45
