ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.35,Q. 3 /2.11,Q. 4 /0.35,Q. 5 /4.21,Q. 6 /0.35,Q. 7 /4.91,Q. 8 /1.05,Q. 9 /3.16,Q. 10 /3.51
28717834.0,Finished,1 October 2020  11:15 AM,1 October 2020  12:14 PM,58.55,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3670056.0,Finished,28 September 2020  4:59 PM,28 September 2020  5:47 PM,48.02,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3603619.0,Finished,28 September 2020  4:58 PM,28 September 2020  5:46 PM,47.87,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3711799.0,Finished,2 October 2020  4:01 PM,2 October 2020  4:52 PM,50.7,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800519.0,Finished,28 September 2020  4:54 PM,28 September 2020  5:44 PM,50.4,17.26,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,2.53,2.11
3709743.0,Finished,30 September 2020  11:02 AM,30 September 2020  11:55 AM,52.87,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3705179.0,Finished,2 October 2020  4:04 PM,2 October 2020  5:01 PM,56.15,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802257.0,Finished,2 October 2020  11:03 AM,2 October 2020  12:09 PM,66.0,15.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,1.26,1.75
28504995.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:15 PM,80.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3971141.0,Finished,2 October 2020  4:00 PM,2 October 2020  4:38 PM,37.38,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3707173.0,Finished,2 October 2020  4:04 PM,2 October 2020  5:03 PM,58.2,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3801173.0,Finished,2 October 2020  11:02 AM,2 October 2020  12:03 PM,60.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28613397.0,Finished,30 September 2020  3:26 PM,30 September 2020  4:04 PM,38.53,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3875020.0,Finished,2 October 2020  4:05 PM,2 October 2020  4:48 PM,43.17,18.25,-,0.35,2.11,0.35,4.21,0.35,4.56,1.05,3.16,2.11
3702867.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:10 PM,75.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3708077.0,Finished,30 September 2020  11:01 AM,30 September 2020  11:54 AM,52.22,19.30,-,0.35,2.11,0.35,3.86,0.35,4.91,0.70,3.16,3.51
3800422.0,Finished,30 September 2020  10:51 AM,30 September 2020  12:12 PM,80.0,17.89,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,2.11
3802432.0,Finished,2 October 2020  9:11 AM,2 October 2020  10:13 AM,61.0,14.77,-,0.35,1.05,0.35,2.11,0.35,3.16,1.05,2.84,3.51
3309154.0,Finished,2 October 2020  2:37 PM,2 October 2020  3:51 PM,73.0,18.98,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,2.84,3.51
3700421.0,Finished,1 October 2020  11:00 AM,1 October 2020  12:15 PM,74.0,18.98,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.16
3522190.0,Finished,2 October 2020  11:03 AM,2 October 2020  12:04 PM,61.0,17.26,-,0.35,2.11,0.35,3.86,0.35,3.86,1.05,2.53,2.81
3874897.0,Finished,28 September 2020  5:47 PM,28 September 2020  6:03 PM,16.07,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3700041.0,Finished,2 October 2020  12:33 PM,2 October 2020  12:56 PM,22.78,16.53,-,0.35,0.70,0.35,2.81,0.35,4.91,1.05,2.84,3.16
3803611.0,Finished,2 October 2020  3:58 PM,2 October 2020  4:59 PM,60.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28502791.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:07 PM,72.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3971165.0,Finished,2 October 2020  11:13 AM,2 October 2020  12:01 PM,48.3,19.65,-,0.35,2.11,0.35,3.86,0.35,4.91,1.05,3.16,3.51
3802558.0,Finished,28 September 2020  4:46 PM,28 September 2020  5:54 PM,67.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3670527.0,Finished,2 October 2020  11:03 AM,2 October 2020  12:01 PM,57.97,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
3700191.0,Finished,2 October 2020  4:02 PM,2 October 2020  4:53 PM,51.48,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3803468.0,Finished,2 October 2020  11:10 AM,2 October 2020  12:15 PM,65.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,3.51
3802500.0,Finished,1 October 2020  11:13 AM,1 October 2020  12:15 PM,62.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3671086.0,Finished,2 October 2020  11:16 AM,2 October 2020  12:03 PM,47.4,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
3670280.0,Finished,2 October 2020  12:12 AM,2 October 2020  1:16 AM,64.0,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3671439.0,Finished,2 October 2020  10:25 AM,2 October 2020  10:39 AM,13.18,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
28717021.0,Finished,1 October 2020  11:06 AM,1 October 2020  11:42 AM,36.18,18.60,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3802291.0,Finished,2 October 2020  12:54 PM,2 October 2020  1:42 PM,48.32,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3801474.0,Finished,30 September 2020  10:54 AM,30 September 2020  11:52 AM,57.62,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3521154.0,Finished,2 October 2020  4:32 PM,2 October 2020  4:50 PM,17.22,18.63,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,2.84,3.16
3703993.0,Finished,28 September 2020  4:24 PM,28 September 2020  5:27 PM,63.0,16.32,-,0.35,1.75,0.35,4.21,0.35,3.86,0.70,1.58,3.16
3802621.0,Finished,30 September 2020  10:54 AM,30 September 2020  12:07 PM,73.0,17.89,-,0.35,1.75,0.35,4.21,0.35,3.16,1.05,3.16,3.51
3671913.0,Finished,28 September 2020  4:41 PM,28 September 2020  5:36 PM,55.12,19.65,-,0.35,2.11,0.35,4.21,-,4.91,1.05,3.16,3.51
3800446.0,Finished,28 September 2020  4:36 PM,28 September 2020  5:47 PM,71.0,17.93,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,1.75
3802614.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:18 PM,82.0,18.00,-,0.35,1.75,0.35,4.21,0.35,4.91,1.05,2.21,2.81
3800511.0,Finished,30 September 2020  10:54 AM,30 September 2020  11:57 AM,62.0,13.02,-,0.35,1.05,0.35,2.11,0.35,2.11,0.70,2.84,3.16
28717024.0,Finished,28 September 2020  4:22 PM,28 September 2020  5:34 PM,71.0,19.30,-,0.35,1.40,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3679357.0,Finished,2 October 2020  11:10 AM,2 October 2020  12:09 PM,59.5,17.58,-,0.35,1.40,0.35,4.21,0.35,3.86,1.05,2.84,3.16
3802515.0,Finished,2 October 2020  3:53 PM,2 October 2020  5:08 PM,74.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3703346.0,Finished,2 October 2020  11:10 AM,2 October 2020  12:01 PM,51.85,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3711387.0,Finished,2 October 2020  4:01 PM,2 October 2020  4:47 PM,45.12,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3800256.0,Finished,30 September 2020  10:55 AM,30 September 2020  11:53 AM,58.6,18.60,-,0.35,2.11,0.35,3.16,0.35,4.91,0.70,3.16,3.51
3309168.0,Finished,1 October 2020  10:56 AM,1 October 2020  12:09 PM,72.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3873784.0,Finished,2 October 2020  4:03 PM,2 October 2020  4:53 PM,50.68,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
3872354.0,Finished,28 September 2020  4:37 PM,28 September 2020  5:26 PM,49.23,14.39,-,0.35,1.05,0.35,2.11,0.35,2.46,1.05,3.16,3.51
2800282.0,Finished,1 October 2020  11:04 AM,1 October 2020  12:32 PM,88.0,18.19,-,0.35,2.11,0.26,4.21,0.35,3.86,0.70,2.84,3.51
3803151.0,Finished,2 October 2020  4:00 PM,2 October 2020  5:04 PM,63.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800104.0,Finished,30 September 2020  10:54 AM,30 September 2020  11:53 AM,59.48,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
