ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.05,Q. 2 /1.58,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /1.58,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /1.58,Q. 10 /1.05,Q. 11 /3.68,Q. 12 /0.53,Q. 13 /4.21,Q. 14 /2.11
3802342.0,Finished,10 December 2020  5:53 PM,10 December 2020  6:36 PM,43.38,12.63,0.53,0.00,0.53,0.53,0.53,1.05,0.00,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3803025.0,Finished,11 December 2020  4:42 PM,11 December 2020  6:12 PM,89.0,16.84,1.05,1.58,0.53,0.00,0.00,1.58,0.53,0.53,1.05,1.05,3.68,0.53,2.63,2.11
3800494.0,Finished,9 December 2020  10:58 AM,9 December 2020  11:48 AM,50.65,17.37,1.05,1.58,0.53,0.53,0.53,1.58,0.00,0.53,1.05,1.05,3.16,0.53,3.16,2.11
28507556.0,Finished,9 December 2020  10:47 AM,9 December 2020  12:15 PM,88.0,14.74,0.53,1.58,0.53,0.00,0.53,1.05,0.53,0.00,1.05,1.05,3.68,0.53,1.58,2.11
3971280.0,Finished,11 December 2020  10:56 AM,11 December 2020  12:16 PM,80.0,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3802811.0,Finished,11 December 2020  12:54 PM,11 December 2020  2:03 PM,68.0,15.79,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
3801528.0,Finished,11 December 2020  12:46 PM,11 December 2020  1:42 PM,55.85,16.84,0.53,1.05,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.16,0.53,3.16,2.11
28716768.0,Finished,9 December 2020  10:53 AM,9 December 2020  12:38 PM,105.0,14.21,0.53,1.05,0.53,0.00,0.53,1.58,0.53,0.53,1.05,1.05,3.68,0.53,2.63,0.00
3802881.0,Finished,10 December 2020  11:50 AM,10 December 2020  1:30 PM,99.0,10.53,0.53,0.00,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,2.11,0.53,1.58,0.00
3803966.0,Finished,7 December 2020  4:08 PM,7 December 2020  5:53 PM,105.0,11.05,1.05,1.05,0.53,0.00,0.00,1.05,0.53,0.53,1.58,1.05,0.00,0.53,3.16,0.00
3709095.0,Finished,9 December 2020  12:03 PM,9 December 2020  12:27 PM,23.42,18.42,1.05,1.58,0.53,0.53,0.53,1.05,0.53,0.53,1.58,1.05,3.68,0.53,3.16,2.11
3704090.0,Finished,11 December 2020  2:27 PM,11 December 2020  3:00 PM,33.6,12.11,0.00,0.00,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3302184.0,Finished,11 December 2020  4:00 PM,11 December 2020  5:39 PM,99.0,13.16,0.53,1.05,0.53,0.53,0.53,1.05,0.00,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3802410.0,Finished,11 December 2020  4:56 PM,11 December 2020  5:40 PM,44.28,18.95,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.58,1.05,3.68,0.53,4.21,2.11
3521322.0,Finished,11 December 2020  10:48 AM,11 December 2020  12:11 PM,83.0,6.32,0.00,1.05,0.00,0.53,0.00,1.05,0.53,0.00,1.05,1.05,0.00,0.53,0.53,0.00
28616887.0,Finished,7 December 2020  4:11 PM,7 December 2020  5:56 PM,105.0,14.74,0.53,0.00,0.53,0.00,0.53,1.58,0.53,0.53,1.05,1.05,3.16,0.00,3.16,2.11
3700530.0,Finished,11 December 2020  10:49 AM,11 December 2020  12:29 PM,99.0,16.84,1.05,0.53,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.16,0.53,3.16,2.11
3800103.0,Finished,11 December 2020  4:03 PM,11 December 2020  5:39 PM,95.0,17.89,1.05,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.68,0.53,2.63,2.11
3700640.0,Finished,11 December 2020  4:27 PM,11 December 2020  5:58 PM,90.0,17.37,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,4.21,2.11
3805644.0,Finished,10 December 2020  5:52 PM,10 December 2020  6:36 PM,43.92,13.16,0.53,0.00,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3800099.0,Finished,11 December 2020  4:25 PM,11 December 2020  6:10 PM,104.0,14.21,0.53,1.05,0.53,0.53,0.53,1.58,0.53,0.00,1.05,1.05,3.68,0.53,2.63,0.00
3802336.0,Finished,11 December 2020  11:30 AM,11 December 2020  1:06 PM,95.0,16.32,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
3710442.0,Finished,11 December 2020  6:04 PM,11 December 2020  6:21 PM,16.93,15.79,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,1.05
3671035.0,Finished,11 December 2020  12:12 PM,11 December 2020  1:17 PM,65.0,13.68,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,2.63,0.53,2.63,0.00
28717834.0,Finished,11 December 2020  5:36 PM,11 December 2020  6:56 PM,80.0,13.16,0.53,1.05,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3670056.0,Finished,7 December 2020  6:16 PM,7 December 2020  7:11 PM,54.18,14.21,1.05,0.53,0.53,0.00,0.53,1.58,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
