ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.33,Q. 2 /4.67,Q. 3 /1.33,Q. 4 /2.67,Q. 5 /3.33,Q. 6 /4.67
28616887.0,Finished,8 January 2021  4:00 PM,8 January 2021  4:51 PM,50.57,18.89,3.33,4.67,0.67,2.67,3.33,4.22
3700530.0,Finished,6 January 2021  10:50 AM,6 January 2021  12:33 PM,102.0,14.26,3.00,2.67,0.67,2.37,2.67,2.89
3800103.0,Finished,8 January 2021  3:52 PM,8 January 2021  5:06 PM,73.0,18.44,3.33,4.00,0.67,2.67,3.33,4.44
3700640.0,Finished,8 January 2021  4:21 PM,8 January 2021  5:38 PM,77.0,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3805644.0,Finished,7 January 2021  3:37 PM,7 January 2021  4:43 PM,66.0,18.44,3.33,4.67,0.00,2.67,3.33,4.44
3800099.0,Finished,8 January 2021  4:23 PM,8 January 2021  5:11 PM,47.93,13.56,3.33,0.67,0.00,2.67,3.33,3.56
3802336.0,Finished,8 January 2021  4:27 PM,8 January 2021  5:15 PM,48.73,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3710442.0,Finished,8 January 2021  1:44 PM,8 January 2021  2:00 PM,16.28,18.78,2.33,4.67,1.33,2.67,3.33,4.44
3671035.0,Finished,8 January 2021  2:50 PM,8 January 2021  3:26 PM,35.85,19.04,3.33,4.67,1.33,2.37,3.33,4.00
28717834.0,Finished,18 January 2021  10:44 AM,18 January 2021  11:52 AM,67.0,18.89,3.33,4.00,1.33,2.67,3.33,4.22
3670056.0,Finished,8 January 2021  2:37 PM,8 January 2021  4:21 PM,104.0,9.19,3.33,2.00,0.67,2.07,0.00,1.11
3603619.0,Finished,4 January 2021  4:12 PM,4 January 2021  4:43 PM,31.72,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3772433.0,Finished,4 January 2021  4:19 PM,4 January 2021  5:27 PM,68.0,16.67,3.33,2.67,0.67,2.67,3.33,4.00
3711799.0,Finished,8 January 2021  6:12 PM,8 January 2021  6:23 PM,10.83,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3801695.0,Finished,8 January 2021  10:46 AM,8 January 2021  11:37 AM,51.58,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3800519.0,Finished,8 January 2021  2:29 PM,8 January 2021  3:01 PM,31.28,18.96,3.33,4.67,1.33,2.07,3.33,4.22
3709743.0,Finished,6 January 2021  4:31 PM,6 January 2021  5:12 PM,40.98,16.44,3.33,3.33,0.00,2.67,3.33,3.78
3705179.0,Finished,8 January 2021  5:39 PM,8 January 2021  5:46 PM,7.07,12.81,2.00,4.67,1.33,1.48,3.33,-
3705179.0,Finished,8 January 2021  7:02 PM,8 January 2021  8:42 PM,100.0,19.56,3.33,4.67,1.33,2.67,3.33,4.22
3706599.0,Finished,4 January 2021  4:30 PM,4 January 2021  6:00 PM,89.0,19.11,3.33,4.67,0.67,2.67,3.33,4.44
28712991.0,Finished,4 January 2021  4:31 PM,4 January 2021  5:52 PM,81.0,18.44,3.33,4.67,0.00,2.67,3.33,4.44
28504995.0,Finished,6 January 2021  10:48 AM,6 January 2021  12:03 PM,75.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3971141.0,Finished,8 January 2021  4:11 PM,8 January 2021  5:18 PM,66.0,17.33,3.33,2.67,1.33,2.67,3.33,4.00
3707173.0,Finished,8 January 2021  4:10 PM,8 January 2021  5:39 PM,89.0,19.56,3.33,4.67,1.33,2.67,3.33,4.22
3801173.0,Finished,8 January 2021  10:45 AM,8 January 2021  11:39 AM,53.78,20.00,3.33,4.67,1.33,2.67,3.33,4.67
28613397.0,Finished,4 January 2021  4:16 PM,4 January 2021  5:04 PM,47.63,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3875020.0,Finished,8 January 2021  4:25 PM,8 January 2021  5:13 PM,48.22,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3702867.0,Finished,6 January 2021  10:59 AM,6 January 2021  11:54 AM,54.87,15.11,3.33,1.33,0.00,2.67,3.33,4.44
3800422.0,Finished,6 January 2021  10:46 AM,6 January 2021  12:03 PM,76.0,19.11,3.33,4.67,1.33,2.67,2.67,4.44
3802432.0,Finished,8 January 2021  4:08 PM,8 January 2021  4:37 PM,29.4,15.11,3.33,0.67,1.33,2.67,3.33,3.78
3700421.0,Finished,18 January 2021  10:33 AM,18 January 2021  11:14 AM,40.33,19.33,3.33,4.67,1.33,2.67,2.67,4.67
3971668.0,Finished,8 January 2021  4:07 PM,8 January 2021  5:30 PM,83.0,13.48,3.33,0.67,0.00,2.37,3.33,3.78
3700479.0,Finished,4 January 2021  5:37 PM,4 January 2021  5:51 PM,14.77,14.44,3.33,0.67,0.00,2.67,3.33,4.44
3700615.0,Finished,8 January 2021  1:58 PM,8 January 2021  3:13 PM,75.0,14.15,3.33,0.67,0.00,2.37,3.33,4.44
3522190.0,Finished,8 January 2021  10:47 AM,8 January 2021  11:59 AM,72.0,18.07,3.33,4.67,0.00,2.07,3.33,4.67
3201218.0,Finished,8 January 2021  4:08 PM,8 January 2021  4:30 PM,21.47,14.37,3.33,1.33,0.00,2.37,2.67,4.67
3803950.0,Finished,8 January 2021  3:56 PM,8 January 2021  4:22 PM,26.42,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3874897.0,Finished,4 January 2021  4:12 PM,4 January 2021  5:57 PM,105.0,17.78,3.33,4.67,-,2.67,3.33,3.78
3700041.0,Finished,8 January 2021  2:01 PM,8 January 2021  2:17 PM,15.48,19.04,3.33,4.67,1.33,2.37,2.67,4.67
3803611.0,Finished,8 January 2021  4:19 PM,8 January 2021  4:29 PM,10.45,19.11,3.33,4.67,0.67,2.67,3.33,4.44
28502791.0,Finished,8 January 2021  3:48 PM,8 January 2021  3:56 PM,8.08,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3971165.0,Finished,8 January 2021  11:13 AM,8 January 2021  12:06 PM,52.97,18.78,2.33,4.67,1.33,2.67,3.33,4.44
3802558.0,Finished,8 January 2021  2:47 PM,8 January 2021  3:44 PM,56.87,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3670527.0,Finished,8 January 2021  3:22 PM,8 January 2021  3:37 PM,14.63,18.78,2.33,4.67,1.33,2.67,3.33,4.44
3700191.0,Finished,8 January 2021  4:16 PM,8 January 2021  4:46 PM,29.53,16.22,3.33,3.33,0.67,2.67,2.00,4.22
3803468.0,Finished,8 January 2021  10:51 AM,8 January 2021  12:09 PM,78.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3802500.0,Finished,18 January 2021  11:00 AM,18 January 2021  11:31 AM,30.92,18.44,3.33,4.00,0.67,2.67,3.33,4.44
3671086.0,Finished,8 January 2021  10:48 AM,8 January 2021  12:06 PM,77.0,19.37,3.00,4.67,1.33,2.37,3.33,4.67
3670280.0,Finished,8 January 2021  10:49 AM,8 January 2021  12:06 PM,77.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3671439.0,Finished,8 January 2021  4:08 PM,8 January 2021  5:15 PM,66.0,10.37,3.33,2.00,0.00,2.37,2.00,0.67
3971070.0,Finished,8 January 2021  3:59 PM,8 January 2021  4:57 PM,57.77,18.89,3.33,4.67,0.67,2.67,3.33,4.22
