ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
3802719.0,Finished,26 September 2020  8:37 PM,26 September 2020  9:23 PM,46.3,5.88,1.18,1.76,0.59,0.00,-,1.18,0.59,0.59
3802466.0,Finished,27 September 2020  8:52 PM,27 September 2020  9:42 PM,49.85,11.18,-,-,-,-,7.06,0.59,2.35,1.18
3671094.0,Finished,21 September 2020  9:14 PM,21 September 2020  11:12 PM,118.0,10.59,0.59,1.76,0.59,0.00,7.06,0.00,0.59,0.00
3803565.0,Finished,28 September 2020  5:58 AM,28 September 2020  7:24 AM,86.0,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3670777.0,Finished,27 September 2020  10:13 PM,27 September 2020  10:29 PM,15.18,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3802999.0,Finished,26 September 2020  12:49 PM,26 September 2020  12:58 PM,9.03,16.47,3.53,2.94,0.59,0.00,7.06,1.18,0.59,0.59
3700149.0,Finished,27 September 2020  4:32 PM,27 September 2020  4:37 PM,5.0,15.88,1.18,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3670241.0,Finished,21 September 2020  9:02 PM,21 September 2020  9:51 PM,49.27,17.06,1.76,2.94,0.59,0.59,7.06,1.18,1.76,1.18
3802342.0,Finished,23 September 2020  4:15 PM,23 September 2020  5:41 PM,86.0,16.47,3.53,2.94,0.59,0.00,7.06,1.18,0.59,0.59
3803025.0,Finished,27 September 2020  11:01 PM,28 September 2020  1:02 AM,120.0,14.71,1.76,1.18,0.59,0.00,7.06,1.18,2.35,0.59
3800494.0,Finished,28 September 2020  1:10 AM,28 September 2020  2:55 AM,105.0,15.88,1.76,2.94,0.59,0.00,7.06,1.18,1.18,1.18
28507556.0,Finished,27 September 2020  5:27 PM,27 September 2020  6:59 PM,92.0,14.12,1.76,1.18,0.00,0.00,7.06,1.18,2.35,0.59
3413360.0,Finished,23 September 2020  6:44 PM,23 September 2020  8:10 PM,85.0,17.65,2.94,2.35,0.59,0.00,7.06,1.18,2.35,1.18
