ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.11,Q. 2 /1.11,Q. 3 /1.11,Q. 4 /1.11,Q. 5 /0.56,Q. 6 /1.11,Q. 7 /1.11,Q. 8 /0.56,Q. 9 /1.11,Q. 10 /2.22,Q. 11 /5.56,Q. 12 /1.11,Q. 13 /2.22
3805644.0,Finished,17 December 2020  5:52 PM,17 December 2020  7:16 PM,83.0,10.56,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.00,0.00,0.00,4.44,0.00,0.00
3800099.0,Finished,18 December 2020  4:52 PM,18 December 2020  6:23 PM,91.0,14.44,1.11,1.11,1.11,1.11,0.56,0.00,1.11,0.56,0.00,2.22,4.44,1.11,0.00
3802336.0,Finished,18 December 2020  11:07 AM,18 December 2020  12:15 PM,67.0,17.25,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3710442.0,Finished,18 December 2020  5:16 PM,18 December 2020  5:41 PM,25.77,9.04,0.56,1.11,1.11,0.00,0.56,0.00,1.11,0.56,0.00,2.22,1.82,0.00,0.00
3671035.0,Finished,14 December 2020  5:00 PM,14 December 2020  6:23 PM,83.0,13.18,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,5.40,0.00,0.00
28717834.0,Finished,18 December 2020  4:25 PM,18 December 2020  5:17 PM,52.73,17.25,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3670056.0,Finished,14 December 2020  5:09 PM,14 December 2020  6:48 PM,98.0,9.90,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,3.23,0.00,0.00
3603619.0,Finished,16 December 2020  2:00 PM,16 December 2020  2:58 PM,57.98,13.38,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.00,0.00,2.22,5.05,0.00,0.00
3772433.0,Finished,18 December 2020  3:54 PM,18 December 2020  5:22 PM,87.0,17.75,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,0.56,2.22,4.70,1.11,2.22
3711799.0,Finished,18 December 2020  4:49 PM,18 December 2020  6:34 PM,105.0,13.33,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,0.00,5.00,0.00,0.00
3801695.0,Finished,18 December 2020  10:44 AM,18 December 2020  11:54 AM,70.0,19.70,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.25,1.11,2.22
3800519.0,Finished,14 December 2020  4:28 PM,14 December 2020  6:04 PM,96.0,15.40,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.40,0.00,0.00
3709743.0,Finished,16 December 2020  11:20 AM,16 December 2020  12:47 PM,87.0,12.12,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,3.79,1.11,0.00
3705179.0,Finished,18 December 2020  5:07 PM,18 December 2020  6:28 PM,80.0,19.80,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.35,1.11,2.22
3706599.0,Finished,14 December 2020  5:20 PM,14 December 2020  7:05 PM,104.0,16.97,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,5.30,0.00,2.22
28712991.0,Finished,14 December 2020  5:07 PM,14 December 2020  6:50 PM,103.0,15.96,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,0.00,5.40,0.00,2.22
28504995.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:35 PM,106.0,15.96,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.00,0.56,2.22,3.18,1.11,2.22
3520624.0,Finished,18 December 2020  4:14 PM,18 December 2020  4:57 PM,43.35,3.33,1.11,1.11,1.11,-,0.00,0.00,-,0.00,-,0.00,-,0.00,-
3971141.0,Finished,18 December 2020  2:54 PM,18 December 2020  3:57 PM,62.0,17.25,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3707173.0,Finished,18 December 2020  4:06 PM,18 December 2020  4:37 PM,31.15,19.55,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.10,1.11,2.22
3801173.0,Finished,18 December 2020  10:44 AM,18 December 2020  12:12 PM,87.0,19.85,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.40,1.11,2.22
28613397.0,Finished,14 December 2020  4:10 PM,14 December 2020  5:52 PM,102.0,13.18,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.00,0.00,0.00,5.40,0.00,2.22
3875020.0,Finished,18 December 2020  4:15 PM,18 December 2020  5:34 PM,79.0,19.52,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.35,1.11,2.22
