ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3971280.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,12.85,6.18,4.44,2.22
3702996.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,5.69,3.86,1.84,0.00
3802811.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,5.70,5.70,-,0.00
3801528.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,103.0,10.20,5.22,3.86,1.11
28716768.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,12.21,6.02,3.96,2.22
3802881.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,10.87,4.66,4.54,1.67
3803966.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.47,6.02,4.44,0.00
3709095.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:29 PM,103.0,11.88,5.38,4.83,1.67
3704090.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,7.63,6.10,0.97,0.56
28718372.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.86,5.94,4.25,1.67
3302184.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,8.04,4.90,2.03,1.11
3802410.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:26 PM,100.0,11.73,5.06,4.44,2.22
3802713.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,12.11,5.06,4.83,2.22
3521322.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,8.89,3.94,3.29,1.67
28616887.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,14.62,5.78,5.51,3.33
3700530.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:30 PM,104.0,11.59,5.86,4.06,1.67
3800103.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,11.40,4.42,5.31,1.67
3700640.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,6.86,4.74,2.13,-
3805644.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,12.08,4.74,5.12,2.22
3800099.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,12.07,6.35,4.06,1.67
3802336.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.74,6.59,4.93,2.22
3803639.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,7.77,5.62,0.48,1.67
3710442.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:30 PM,104.0,5.95,3.29,1.55,1.11
3671035.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,14.28,6.67,4.83,2.78
28717834.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.91,6.67,5.02,2.22
3670056.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,8.61,3.61,4.44,0.56
3603619.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:45 PM,119.0,13.26,6.67,4.93,1.67
3772433.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,10.51,5.22,4.73,0.56
3711799.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,12.56,6.18,4.15,2.22
3801695.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,13.35,5.38,4.64,3.33
3800519.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,14.03,6.67,5.70,1.67
3709743.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.78,5.38,4.73,1.67
3705179.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:31 PM,104.0,9.73,4.66,3.96,1.11
3802257.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,3.18,2.89,0.29,-
3706599.0,Finished,16 November 2020  10:45 AM,16 November 2020  1:05 PM,139.0,9.06,4.42,4.64,0.00
28712991.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,16.06,6.35,6.38,3.33
28504995.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,12.05,5.86,3.96,2.22
3520624.0,Finished,16 November 2020  10:45 AM,16 November 2020  1:05 PM,140.0,10.24,5.62,4.06,0.56
