State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
Finished,26 November 2022  11:46 AM,26 November 2022  1:39 PM,1 hour 53 mins,13.06,4.72,3.33,2.50,2.50
Finished,26 November 2022  11:50 AM,26 November 2022  1:22 PM,1 hour 31 mins,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  11:58 AM,26 November 2022  1:21 PM,1 hour 22 mins,17.50,5.00,3.33,5.00,4.17
Finished,26 November 2022  12:03 PM,26 November 2022  1:44 PM,1 hour 41 mins,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  12:18 PM,26 November 2022  1:02 PM,44 mins 27 secs,10.28,4.44,3.33,0.00,2.50
Finished,26 November 2022  12:27 PM,26 November 2022  1:10 PM,42 mins 9 secs,8.61,4.44,0.00,0.00,4.17
Finished,26 November 2022  12:34 PM,26 November 2022  1:48 PM,1 hour 13 mins,12.50,5.00,3.33,0.00,4.17
Finished,26 November 2022  12:44 PM,26 November 2022  2:44 PM,2 hours,1.39,0.56,0.00,0.00,0.83
Finished,26 November 2022  12:45 PM,26 November 2022  1:19 PM,34 mins 4 secs,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  12:47 PM,26 November 2022  1:32 PM,45 mins 28 secs,10.00,4.17,1.67,0.00,4.17
Finished,26 November 2022  12:52 PM,26 November 2022  2:21 PM,1 hour 29 mins,13.89,3.89,3.33,2.50,4.17
Finished,26 November 2022  12:53 PM,26 November 2022  1:39 PM,45 mins 23 secs,9.44,2.78,1.67,2.50,2.50
Finished,26 November 2022  12:55 PM,26 November 2022  1:31 PM,36 mins 41 secs,12.50,5.00,1.67,2.50,3.33
Finished,26 November 2022  12:57 PM,26 November 2022  2:57 PM,2 hours,13.33,5.00,1.67,2.50,4.17
Finished,26 November 2022  1:04 PM,26 November 2022  2:19 PM,1 hour 15 mins,12.78,2.78,3.33,2.50,4.17
Finished,26 November 2022  1:07 PM,26 November 2022  2:59 PM,1 hour 51 mins,13.89,3.89,3.33,2.50,4.17
Finished,26 November 2022  1:22 PM,26 November 2022  2:44 PM,1 hour 21 mins,11.11,4.44,1.67,2.50,2.50
Finished,26 November 2022  1:26 PM,26 November 2022  2:01 PM,35 mins 39 secs,7.22,2.22,0.00,2.50,2.50
Finished,26 November 2022  1:28 PM,26 November 2022  2:54 PM,1 hour 25 mins,12.50,5.00,3.33,0.00,4.17
Finished,26 November 2022  1:31 PM,26 November 2022  2:55 PM,1 hour 23 mins,9.72,2.22,3.33,2.50,1.67
Finished,26 November 2022  1:33 PM,26 November 2022  3:31 PM,1 hour 57 mins,13.33,5.00,1.67,2.50,4.17
Finished,26 November 2022  1:37 PM,26 November 2022  2:17 PM,40 mins 11 secs,11.39,3.89,3.33,0.00,4.17
Finished,26 November 2022  1:56 PM,26 November 2022  2:39 PM,42 mins 47 secs,14.17,5.00,5.00,2.50,1.67
Finished,26 November 2022  2:07 PM,26 November 2022  4:00 PM,1 hour 53 mins,17.50,5.00,3.33,5.00,4.17
Finished,26 November 2022  2:12 PM,26 November 2022  2:58 PM,46 mins 25 secs,18.33,5.00,3.33,5.00,5.00
Finished,26 November 2022  2:12 PM,26 November 2022  4:11 PM,1 hour 58 mins,14.17,5.00,3.33,2.50,3.33
Finished,26 November 2022  2:13 PM,26 November 2022  3:54 PM,1 hour 40 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  2:13 PM,26 November 2022  4:00 PM,1 hour 46 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  2:13 PM,26 November 2022  3:46 PM,1 hour 33 mins,16.67,5.00,3.33,5.00,3.33
Finished,26 November 2022  2:15 PM,26 November 2022  3:54 PM,1 hour 38 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  2:20 PM,26 November 2022  3:15 PM,54 mins 20 secs,10.28,2.78,3.33,0.00,4.17
Finished,26 November 2022  2:22 PM,26 November 2022  3:52 PM,1 hour 30 mins,11.11,2.78,3.33,2.50,2.50
Finished,26 November 2022  2:23 PM,26 November 2022  3:33 PM,1 hour 9 mins,7.50,3.33,0.00,0.00,4.17
Finished,26 November 2022  2:23 PM,26 November 2022  4:02 PM,1 hour 39 mins,17.50,5.00,3.33,5.00,4.17
Finished,26 November 2022  2:24 PM,26 November 2022  3:52 PM,1 hour 27 mins,10.00,5.00,1.67,2.50,0.83
Finished,26 November 2022  2:28 PM,26 November 2022  3:01 PM,33 mins 19 secs,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  2:28 PM,26 November 2022  4:28 PM,2 hours,15.00,5.00,5.00,2.50,2.50
Finished,26 November 2022  2:29 PM,26 November 2022  4:29 PM,1 hour 59 mins,13.33,5.00,5.00,2.50,0.83
Finished,26 November 2022  2:33 PM,26 November 2022  3:58 PM,1 hour 24 mins,12.78,4.44,1.67,2.50,4.17
Finished,26 November 2022  2:35 PM,26 November 2022  4:34 PM,1 hour 59 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  2:42 PM,26 November 2022  4:03 PM,1 hour 20 mins,11.94,4.44,3.33,0.00,4.17
Finished,26 November 2022  2:47 PM,26 November 2022  4:34 PM,1 hour 47 mins,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  2:47 PM,26 November 2022  4:38 PM,1 hour 50 mins,13.33,5.00,1.67,2.50,4.17
