State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,29 October 2022  3:11 PM,29 October 2022  3:52 PM,41,17.33,17.33
Finished,29 October 2022  3:22 PM,29 October 2022  3:42 PM,19,18.67,18.67
Finished,29 October 2022  3:23 PM,29 October 2022  4:13 PM,50,20.00,20.00
Finished,29 October 2022  3:25 PM,29 October 2022  3:53 PM,28,20.00,20.00
Finished,29 October 2022  3:25 PM,29 October 2022  4:52 PM,86,17.33,17.33
Finished,29 October 2022  3:27 PM,29 October 2022  4:13 PM,46,20.00,20.00
Finished,29 October 2022  3:28 PM,29 October 2022  3:35 PM,7,18.67,18.67
Finished,29 October 2022  3:29 PM,29 October 2022  4:25 PM,56,17.33,17.33
Finished,29 October 2022  3:31 PM,29 October 2022  4:39 PM,67,20.00,20.00
Finished,29 October 2022  3:34 PM,29 October 2022  3:43 PM,9,18.67,18.67
Finished,29 October 2022  3:36 PM,29 October 2022  3:50 PM,14,20.00,20.00
Finished,29 October 2022  3:37 PM,29 October 2022  3:54 PM,17,20.00,20.00
Finished,29 October 2022  3:39 PM,29 October 2022  4:21 PM,42,20.00,20.00
Finished,29 October 2022  3:41 PM,29 October 2022  4:25 PM,44,20.00,20.00
Finished,29 October 2022  3:45 PM,29 October 2022  4:21 PM,36,20.00,20.00
Finished,29 October 2022  3:45 PM,29 October 2022  4:22 PM,37,20.00,20.00
Finished,29 October 2022  3:47 PM,29 October 2022  4:06 PM,20,19.33,19.33
Finished,29 October 2022  3:53 PM,29 October 2022  5:12 PM,78,20.00,20.00
Finished,29 October 2022  3:54 PM,29 October 2022  5:54 PM,120,20.00,20.00
Finished,29 October 2022  3:55 PM,29 October 2022  4:08 PM,13,20.00,20.00
Finished,29 October 2022  3:58 PM,29 October 2022  4:17 PM,19,20.00,20.00
Finished,29 October 2022  3:58 PM,29 October 2022  4:27 PM,29,20.00,20.00
Finished,29 October 2022  3:59 PM,29 October 2022  4:21 PM,22,20.00,20.00
Finished,29 October 2022  3:59 PM,29 October 2022  4:14 PM,15,20.00,20.00
Finished,29 October 2022  4:01 PM,29 October 2022  4:18 PM,18,18.00,18.00
Finished,29 October 2022  4:01 PM,29 October 2022  5:03 PM,61,20.00,20.00
