ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
21113747.0,Finished,8 novembre 2021  10:46 ,8 novembre 2021  12:16 ,90.0,12.14,4.39,2.78,4.97
3800028.0,Finished,8 novembre 2021  10:46 ,8 novembre 2021  12:15 ,89.0,12.47,4.06,2.78,5.63
28607117.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,11.58,5.50,1.11,4.97
3800075.0,Finished,8 novembre 2021  10:53 ,8 novembre 2021  12:18 ,84.0,5.37,0.61,0.00,4.75
28619891.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,2.38,2.00,0.00,0.38
3802466.0,Finished,8 novembre 2021  12:36 ,8 novembre 2021  2:06 ,90.0,8.63,4.26,-,4.37
28600653.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  1:59 ,89.0,14.29,2.77,6.11,5.41
28610514.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,6.36,0.56,3.89,1.91
28609831.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,9.56,1.00,2.22,6.34
3702385.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,6.47,3.46,-,3.01
28600759.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,14.33,3.83,3.89,6.61
28607831.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,6.79,4.70,0.56,1.53
28620112.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,10.47,3.94,1.67,4.86
28602386.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,14.05,4.71,2.78,6.56
3700630.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,10.75,3.27,2.78,4.70
28600769.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,12.02,3.11,3.33,5.57
28606830.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,6.50,3.81,1.11,1.58
