ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.33,Q. 2 /5.33,Q. 3 /5.33,Q. 4 /1.33,Q. 5 /4.00,Q. 6 /1.33,Q. 7 /1.33
3803966.0,Finished,10 October 2020  6:17 PM,10 October 2020  8:07 PM,110.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3709095.0,Finished,7 October 2020  9:44 AM,7 October 2020  10:03 AM,18.48,10.33,1.33,2.67,0.00,0.00,4.00,1.00,1.33
3709095.0,Finished,7 October 2020  11:21 AM,7 October 2020  11:24 AM,3.77,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3704090.0,Finished,11 October 2020  5:26 PM,11 October 2020  6:43 PM,76.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
28718372.0,Finished,10 October 2020  5:38 PM,10 October 2020  7:35 PM,117.0,10.00,1.33,2.67,0.00,0.00,4.00,1.00,1.00
3302184.0,Finished,12 October 2020  7:23 AM,12 October 2020  8:11 AM,48.0,8.67,0.00,2.67,0.00,0.00,4.00,1.33,0.67
3802410.0,Finished,10 October 2020  11:42 PM,10 October 2020  11:50 PM,8.53,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802713.0,Finished,11 October 2020  10:34 PM,11 October 2020  10:49 PM,14.68,19.33,1.33,4.67,5.33,1.33,4.00,1.33,1.33
3521322.0,Finished,12 October 2020  4:05 AM,12 October 2020  6:02 AM,117.0,13.11,1.33,0.00,5.33,0.44,4.00,1.33,0.67
28616887.0,Finished,11 October 2020  5:36 PM,11 October 2020  6:38 PM,61.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3700530.0,Finished,11 October 2020  8:01 PM,11 October 2020  9:20 PM,78.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800103.0,Finished,11 October 2020  12:04 PM,11 October 2020  12:36 PM,32.73,11.67,1.33,2.67,0.00,1.33,4.00,1.00,1.33
3700640.0,Finished,11 October 2020  8:30 PM,11 October 2020  10:00 PM,89.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3805644.0,Finished,11 October 2020  9:42 PM,11 October 2020  10:38 PM,56.05,16.00,1.33,1.33,5.33,1.33,4.00,1.33,1.33
