State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /7.00,Q. 3 /5.00,Q. 4 /3.00
Finished,21 December 2020  12:00 AM,21 December 2020  12:55 AM,55,19.00,4.00,7.00,5.00,3.00
Finished,21 December 2020  12:12 AM,21 December 2020  1:01 AM,49,8.00,1.00,6.00,0.00,1.00
Finished,21 December 2020  2:10 AM,21 December 2020  2:38 AM,28,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  8:09 PM,20 December 2020  8:52 PM,43,9.00,3.00,3.00,0.00,3.00
Finished,20 December 2020  11:36 PM,21 December 2020  12:53 AM,76,11.00,3.00,7.00,0.00,1.00
Finished,15 December 2020  2:26 PM,15 December 2020  3:44 PM,78,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  11:50 PM,20 December 2020  11:59 PM,9,8.00,2.00,3.00,0.00,3.00
Finished,20 December 2020  4:42 PM,20 December 2020  4:49 PM,7,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  4:08 AM,21 December 2020  4:31 AM,23,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  10:21 AM,21 December 2020  10:44 AM,23,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  6:26 PM,20 December 2020  7:21 PM,55,7.00,1.00,6.00,0.00,0.00
Finished,21 December 2020  1:57 AM,21 December 2020  3:30 AM,93,13.00,4.00,5.00,3.00,1.00
Finished,20 December 2020  9:43 PM,20 December 2020  10:07 PM,24,13.00,3.00,5.00,2.00,3.00
Finished,15 December 2020  2:27 PM,15 December 2020  3:44 PM,76,16.00,4.00,7.00,3.00,2.00
Finished,21 December 2020  8:40 AM,21 December 2020  8:49 AM,8,14.00,4.00,7.00,0.00,3.00
Finished,21 December 2020  8:37 AM,21 December 2020  10:13 AM,96,9.00,1.00,5.00,2.00,1.00
Finished,21 December 2020  3:08 AM,21 December 2020  4:05 AM,58,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  11:06 PM,20 December 2020  11:31 PM,25,10.00,4.00,5.00,0.00,1.00
Finished,20 December 2020  6:12 PM,20 December 2020  7:05 PM,53,13.00,3.00,7.00,2.00,1.00
Finished,19 December 2020  2:19 AM,19 December 2020  3:50 AM,91,5.00,0.00,4.00,0.00,1.00
Finished,20 December 2020  7:05 PM,20 December 2020  8:03 PM,59,9.00,2.00,4.00,0.00,3.00
Finished,19 December 2020  12:49 PM,19 December 2020  2:18 PM,88,14.00,3.00,7.00,3.00,1.00
Finished,16 December 2020  9:51 AM,16 December 2020  10:30 AM,39,7.00,3.00,3.00,0.00,1.00
Finished,15 December 2020  2:26 PM,15 December 2020  3:44 PM,78,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  9:00 AM,21 December 2020  10:38 AM,97,5.00,1.00,3.00,0.00,1.00
Finished,21 December 2020  5:52 AM,21 December 2020  6:46 AM,54,11.00,4.00,6.00,0.00,1.00
Finished,21 December 2020  4:21 AM,21 December 2020  4:33 AM,12,16.00,3.00,7.00,5.00,1.00
Finished,21 December 2020  8:56 AM,21 December 2020  10:33 AM,96,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  11:20 PM,21 December 2020  12:04 AM,45,5.00,2.00,1.00,1.00,1.00
Finished,19 December 2020  7:29 PM,19 December 2020  8:22 PM,53,12.00,2.00,5.00,4.00,1.00
Finished,20 December 2020  5:10 PM,20 December 2020  5:39 PM,29,7.00,3.00,4.00,0.00,0.00
Finished,19 December 2020  6:30 PM,19 December 2020  7:40 PM,70,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  12:58 AM,21 December 2020  1:51 AM,53,15.00,2.00,7.00,5.00,1.00
Finished,20 December 2020  9:09 PM,20 December 2020  10:37 PM,88,8.00,1.00,4.00,0.00,3.00
Finished,20 December 2020  11:32 PM,20 December 2020  11:47 PM,14,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  9:38 PM,20 December 2020  10:10 PM,32,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  2:21 AM,21 December 2020  2:24 AM,3,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  1:15 AM,21 December 2020  1:50 AM,34,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  12:03 PM,20 December 2020  12:20 PM,18,14.00,2.00,7.00,4.00,1.00
Finished,21 December 2020  8:43 AM,21 December 2020  10:43 AM,119,5.00,1.00,3.00,0.00,1.00
Finished,15 December 2020  10:02 PM,15 December 2020  11:10 PM,68,11.00,4.00,6.00,-,1.00
Finished,20 December 2020  3:11 PM,20 December 2020  3:51 PM,41,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  11:22 PM,21 December 2020  12:32 AM,69,6.00,2.00,3.00,0.00,1.00
Finished,20 December 2020  4:34 PM,20 December 2020  6:15 PM,101,4.00,2.00,2.00,0.00,0.00
Finished,21 December 2020  3:38 AM,21 December 2020  4:04 AM,25,14.00,4.00,7.00,2.00,1.00
Finished,22 December 2020  7:28 PM,22 December 2020  7:30 PM,2,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  8:31 PM,20 December 2020  9:31 PM,60,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  12:16 AM,21 December 2020  1:57 AM,101,12.00,4.00,6.00,0.00,2.00
Finished,21 December 2020  8:58 AM,21 December 2020  10:15 AM,77,10.00,2.00,6.00,0.00,2.00
Finished,20 December 2020  8:20 PM,20 December 2020  10:17 PM,117,12.00,3.00,7.00,1.00,1.00
Finished,16 December 2020  12:28 PM,16 December 2020  1:34 PM,65,7.00,2.00,3.00,0.00,2.00
Finished,20 December 2020  6:05 PM,20 December 2020  7:38 PM,93,14.00,4.00,6.00,3.00,1.00
Finished,19 December 2020  5:53 PM,19 December 2020  7:29 PM,96,5.00,2.00,2.00,0.00,1.00
Finished,21 December 2020  8:03 AM,21 December 2020  8:40 AM,36,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  10:45 PM,21 December 2020  12:05 AM,80,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  7:10 PM,20 December 2020  9:08 PM,117,5.00,2.00,2.00,0.00,1.00
Finished,21 December 2020  2:01 AM,21 December 2020  2:53 AM,53,8.00,3.00,5.00,0.00,0.00
Finished,21 December 2020  7:51 AM,21 December 2020  9:37 AM,105,13.00,4.00,5.00,3.00,1.00
Finished,21 December 2020  12:36 AM,21 December 2020  1:35 AM,59,10.00,2.00,5.00,0.00,3.00
Finished,20 December 2020  6:12 PM,20 December 2020  7:05 PM,53,12.00,3.00,6.00,2.00,1.00
Finished,20 December 2020  11:44 PM,21 December 2020  1:07 AM,82,12.00,4.00,7.00,0.00,1.00
Finished,19 December 2020  7:30 PM,19 December 2020  8:22 PM,53,14.00,2.00,7.00,4.00,1.00
Finished,20 December 2020  7:35 PM,20 December 2020  9:34 PM,119,13.00,4.00,6.00,2.00,1.00
Finished,21 December 2020  4:08 AM,21 December 2020  4:35 AM,27,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  1:59 AM,21 December 2020  2:11 AM,12,17.00,4.00,7.00,5.00,1.00
Finished,21 December 2020  1:04 AM,21 December 2020  1:14 AM,9,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  1:39 AM,21 December 2020  2:19 AM,40,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  4:40 AM,21 December 2020  5:11 AM,31,8.00,2.00,5.00,0.00,1.00
Finished,20 December 2020  10:28 PM,20 December 2020  11:54 PM,85,15.00,3.00,7.00,3.00,2.00
Finished,20 December 2020  10:14 PM,20 December 2020  11:37 PM,83,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  7:17 AM,21 December 2020  7:23 AM,6,10.00,2.00,5.00,0.00,3.00
Finished,16 December 2020  12:48 PM,16 December 2020  1:42 PM,54,7.00,1.00,5.00,0.00,1.00
Finished,21 December 2020  3:48 AM,21 December 2020  4:50 AM,62,17.00,4.00,7.00,3.00,3.00
Finished,21 December 2020  9:14 AM,21 December 2020  10:39 AM,84,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  8:05 PM,20 December 2020  9:46 PM,100,14.00,4.00,6.00,3.00,1.00
Finished,20 December 2020  9:31 PM,20 December 2020  11:17 PM,105,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:30 PM,21 December 2020  12:17 AM,47,11.00,3.00,7.00,0.00,1.00
Finished,21 December 2020  12:36 AM,21 December 2020  12:48 AM,11,17.00,4.00,7.00,5.00,1.00
Finished,20 December 2020  10:44 PM,20 December 2020  11:40 PM,56,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  10:13 AM,20 December 2020  11:17 AM,63,10.00,3.00,5.00,0.00,2.00
Finished,20 December 2020  10:44 PM,21 December 2020  12:07 AM,82,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  7:35 PM,20 December 2020  9:34 PM,119,12.00,4.00,5.00,2.00,1.00
Finished,20 December 2020  8:19 PM,20 December 2020  10:11 PM,111,10.00,3.00,5.00,1.00,1.00
Finished,19 December 2020  10:51 AM,19 December 2020  11:37 AM,46,4.00,1.00,3.00,-,0.00
Finished,21 December 2020  12:49 AM,21 December 2020  1:33 AM,44,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:37 PM,21 December 2020  1:27 AM,109,16.00,4.00,7.00,3.00,2.00
Finished,20 December 2020  4:03 PM,20 December 2020  5:58 PM,115,8.00,1.00,4.00,0.00,3.00
Finished,21 December 2020  2:54 AM,21 December 2020  4:28 AM,93,10.00,3.00,6.00,0.00,1.00
Finished,21 December 2020  12:55 AM,21 December 2020  2:20 AM,85,4.00,1.00,2.00,0.00,1.00
Finished,21 December 2020  9:33 AM,21 December 2020  9:51 AM,18,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  6:32 PM,20 December 2020  8:04 PM,92,4.00,1.00,3.00,0.00,0.00
Finished,21 December 2020  9:44 AM,21 December 2020  10:15 AM,31,10.00,4.00,5.00,0.00,1.00
Finished,21 December 2020  12:23 AM,21 December 2020  12:28 AM,5,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  12:07 AM,21 December 2020  12:15 AM,8,9.00,4.00,4.00,0.00,1.00
Finished,21 December 2020  8:37 AM,21 December 2020  10:37 AM,120,10.00,2.00,7.00,0.00,1.00
Finished,18 December 2020  2:24 PM,18 December 2020  3:15 PM,51,10.00,2.00,5.00,0.00,3.00
Finished,21 December 2020  6:19 AM,21 December 2020  8:04 AM,105,10.00,4.00,5.00,0.00,1.00
Finished,21 December 2020  5:45 AM,21 December 2020  6:46 AM,61,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  2:50 AM,21 December 2020  2:59 AM,9,13.00,3.00,6.00,3.00,1.00
Finished,20 December 2020  10:58 PM,20 December 2020  11:19 PM,22,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  9:42 AM,21 December 2020  10:24 AM,42,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  5:51 PM,20 December 2020  6:02 PM,10,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  9:42 PM,20 December 2020  10:07 PM,26,13.00,3.00,5.00,2.00,3.00
Finished,15 December 2020  7:05 PM,15 December 2020  7:38 PM,32,7.00,2.00,4.00,0.00,1.00
Finished,21 December 2020  9:00 AM,21 December 2020  9:09 AM,10,10.00,3.00,6.00,0.00,1.00
Finished,15 December 2020  10:02 PM,15 December 2020  11:10 PM,68,12.00,4.00,7.00,-,1.00
Finished,20 December 2020  3:11 PM,20 December 2020  3:51 PM,41,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  12:20 AM,21 December 2020  1:49 AM,89,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  9:15 AM,21 December 2020  10:09 AM,55,15.00,2.00,7.00,5.00,1.00
Finished,20 December 2020  11:55 PM,21 December 2020  12:15 AM,20,4.00,1.00,3.00,-,0.00
Finished,21 December 2020  9:04 AM,21 December 2020  9:49 AM,45,6.00,3.00,3.00,-,-
Finished,20 December 2020  9:44 PM,20 December 2020  9:52 PM,9,14.00,3.00,6.00,2.00,3.00
Finished,21 December 2020  1:39 AM,21 December 2020  2:19 AM,40,12.00,4.00,7.00,0.00,1.00
Finished,16 December 2020  10:45 AM,16 December 2020  12:06 PM,80,7.00,3.00,3.00,0.00,1.00
Finished,21 December 2020  2:11 AM,21 December 2020  2:41 AM,30,9.00,2.00,6.00,0.00,1.00
Finished,21 December 2020  1:41 AM,21 December 2020  3:31 AM,110,8.00,3.00,4.00,0.00,1.00
Finished,20 December 2020  7:44 PM,20 December 2020  9:32 PM,108,3.00,1.00,2.00,-,-
Finished,20 December 2020  11:23 PM,20 December 2020  11:42 PM,19,7.00,2.00,4.00,0.00,1.00
Finished,21 December 2020  10:12 AM,21 December 2020  10:19 AM,7,10.00,2.00,5.00,0.00,3.00
Finished,21 December 2020  9:01 AM,21 December 2020  9:08 AM,7,6.00,2.00,4.00,-,-
Finished,20 December 2020  8:06 PM,20 December 2020  9:17 PM,70,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:23 PM,21 December 2020  12:54 AM,91,3.00,1.00,2.00,0.00,0.00
Finished,20 December 2020  6:01 PM,20 December 2020  7:26 PM,84,4.00,0.00,4.00,0.00,0.00
Finished,21 December 2020  9:56 AM,21 December 2020  10:20 AM,24,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  2:20 AM,21 December 2020  2:36 AM,16,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  8:50 AM,21 December 2020  10:40 AM,110,5.00,2.00,2.00,0.00,1.00
Finished,21 December 2020  6:14 AM,21 December 2020  6:33 AM,19,15.00,4.00,5.00,5.00,1.00
Finished,21 December 2020  6:29 AM,21 December 2020  6:55 AM,26,12.00,4.00,7.00,0.00,1.00
Finished,27 December 2020  1:17 PM,27 December 2020  2:39 PM,82,5.00,1.00,4.00,0.00,0.00
Finished,17 December 2020  9:40 PM,17 December 2020  11:17 PM,97,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  11:45 PM,20 December 2020  11:55 PM,10,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  10:12 AM,21 December 2020  10:29 AM,16,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  10:31 PM,21 December 2020  12:16 AM,104,17.00,4.00,7.00,5.00,1.00
Finished,21 December 2020  3:27 AM,21 December 2020  4:54 AM,86,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  8:20 PM,20 December 2020  10:10 PM,110,12.00,3.00,7.00,1.00,1.00
Finished,20 December 2020  5:51 PM,20 December 2020  6:00 PM,9,10.00,2.00,5.00,0.00,3.00
Finished,15 December 2020  2:26 PM,15 December 2020  3:44 PM,78,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  10:05 PM,20 December 2020  11:20 PM,74,11.00,3.00,7.00,0.00,1.00
Finished,20 December 2020  11:15 PM,20 December 2020  11:52 PM,37,5.00,1.00,4.00,0.00,-
Finished,20 December 2020  10:32 PM,21 December 2020  12:18 AM,105,15.00,4.00,7.00,3.00,1.00
Finished,14 December 2020  7:45 PM,14 December 2020  8:11 PM,26,9.00,3.00,5.00,0.00,1.00
Finished,20 December 2020  10:38 PM,20 December 2020  11:40 PM,61,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  11:53 PM,21 December 2020  1:10 AM,77,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  1:40 AM,21 December 2020  1:44 AM,5,9.00,2.00,4.00,0.00,3.00
Finished,17 December 2020  9:40 PM,17 December 2020  11:17 PM,97,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  10:30 PM,21 December 2020  12:19 AM,109,15.00,3.00,6.00,5.00,1.00
Finished,19 December 2020  11:35 PM,20 December 2020  12:03 AM,28,8.00,3.00,4.00,0.00,1.00
Finished,20 December 2020  11:28 PM,21 December 2020  12:30 AM,61,8.00,3.00,4.00,0.00,1.00
Finished,21 December 2020  12:20 AM,21 December 2020  12:24 AM,3,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  12:29 AM,21 December 2020  1:30 AM,60,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  11:03 AM,20 December 2020  11:06 AM,3,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  1:18 AM,21 December 2020  2:51 AM,92,10.00,2.00,3.00,4.00,1.00
Finished,20 December 2020  10:59 PM,20 December 2020  11:09 PM,9,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  6:24 PM,20 December 2020  6:51 PM,27,7.00,1.00,5.00,0.00,1.00
Finished,20 December 2020  11:50 PM,20 December 2020  11:57 PM,7,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  12:28 AM,21 December 2020  1:24 AM,57,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  12:39 AM,21 December 2020  2:15 AM,96,12.00,4.00,7.00,0.00,1.00
Finished,18 December 2020  5:55 PM,18 December 2020  6:42 PM,47,15.00,3.00,7.00,2.00,3.00
Finished,18 December 2020  3:57 PM,18 December 2020  4:57 PM,60,12.00,3.00,4.00,2.00,3.00
Finished,20 December 2020  4:01 PM,20 December 2020  5:06 PM,65,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  9:10 AM,21 December 2020  10:44 AM,93,8.00,2.00,5.00,0.00,1.00
Finished,20 December 2020  2:48 PM,20 December 2020  3:35 PM,47,5.00,3.00,2.00,0.00,0.00
Finished,17 December 2020  10:12 PM,17 December 2020  11:03 PM,51,10.00,1.00,5.00,1.00,3.00
Finished,20 December 2020  3:32 PM,20 December 2020  5:09 PM,96,12.00,3.00,4.00,2.00,3.00
