ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
28620097.0,Finished,22 October 2022  3:31 PM,22 October 2022  4:51 PM,80.0,17.68,17.68
28613143.0,Finished,22 October 2022  3:32 PM,22 October 2022  5:32 PM,119.0,18.26,18.26
28708212.0,Finished,22 October 2022  3:35 PM,22 October 2022  4:14 PM,38.63,15.94,15.94
3702933.0,Finished,22 October 2022  3:44 PM,22 October 2022  4:46 PM,61.0,16.52,16.52
3811446.0,Finished,22 October 2022  3:45 PM,22 October 2022  4:20 PM,34.97,17.68,17.68
3700291.0,Finished,22 October 2022  3:46 PM,22 October 2022  4:01 PM,15.4,14.49,14.49
28710097.0,Finished,22 October 2022  3:47 PM,22 October 2022  4:13 PM,26.28,16.81,16.81
28707180.0,Finished,22 October 2022  3:49 PM,22 October 2022  4:38 PM,48.47,13.62,13.62
21219706.0,Finished,22 October 2022  3:49 PM,22 October 2022  5:49 PM,119.0,17.39,17.39
28712760.0,Finished,22 October 2022  3:51 PM,22 October 2022  5:51 PM,120.0,18.26,18.26
28705401.0,Finished,22 October 2022  3:52 PM,22 October 2022  4:33 PM,41.57,16.81,16.81
28632942.0,Finished,22 October 2022  3:53 PM,22 October 2022  4:41 PM,47.28,18.84,18.84
28707756.0,Finished,22 October 2022  3:54 PM,22 October 2022  5:05 PM,71.0,17.39,17.39
21218316.0,Finished,22 October 2022  3:56 PM,22 October 2022  5:07 PM,71.0,17.68,17.68
21209708.0,Finished,22 October 2022  4:01 PM,22 October 2022  4:22 PM,21.23,17.97,17.97
28714617.0,Finished,22 October 2022  4:02 PM,22 October 2022  5:20 PM,78.0,16.81,16.81
28602418.0,Finished,22 October 2022  4:03 PM,22 October 2022  5:31 PM,87.0,17.68,17.68
28709630.0,Finished,22 October 2022  4:05 PM,22 October 2022  5:45 PM,100.0,17.97,17.97
3804494.0,Finished,22 October 2022  4:06 PM,22 October 2022  5:37 PM,91.0,15.94,15.94
28634278.0,Finished,22 October 2022  4:06 PM,22 October 2022  4:41 PM,34.77,18.84,18.84
21119283.0,Finished,22 October 2022  4:07 PM,22 October 2022  5:32 PM,85.0,12.75,12.75
28720888.0,Finished,22 October 2022  4:08 PM,22 October 2022  5:42 PM,94.0,17.39,17.39
28716648.0,Finished,22 October 2022  4:09 PM,22 October 2022  6:02 PM,113.0,17.97,17.97
28610654.0,Finished,22 October 2022  4:09 PM,22 October 2022  4:27 PM,17.6,18.55,18.55
28706762.0,Finished,22 October 2022  4:10 PM,22 October 2022  4:53 PM,42.87,15.94,15.94
3808150.0,Finished,22 October 2022  4:10 PM,22 October 2022  5:39 PM,88.0,17.39,17.39
3804887.0,Finished,22 October 2022  4:12 PM,22 October 2022  6:12 PM,120.0,15.94,15.94
28711710.0,Finished,22 October 2022  4:14 PM,22 October 2022  5:23 PM,68.0,16.52,16.52
28618109.0,Finished,22 October 2022  4:14 PM,22 October 2022  5:42 PM,88.0,16.81,16.81
28713301.0,Finished,22 October 2022  4:14 PM,22 October 2022  5:03 PM,48.6,17.10,17.10
28706902.0,Finished,22 October 2022  4:16 PM,22 October 2022  5:23 PM,67.0,17.10,17.10
28711501.0,Finished,22 October 2022  4:20 PM,22 October 2022  5:58 PM,98.0,13.62,13.62
3701324.0,Finished,22 October 2022  4:21 PM,22 October 2022  6:21 PM,120.0,16.23,16.23
28600768.0,Finished,22 October 2022  4:21 PM,22 October 2022  5:12 PM,51.65,17.68,17.68
28718611.0,Finished,22 October 2022  4:21 PM,22 October 2022  6:06 PM,104.0,16.81,16.81
3803944.0,Finished,22 October 2022  4:21 PM,22 October 2022  5:51 PM,89.0,15.65,15.65
28718775.0,Finished,22 October 2022  4:21 PM,22 October 2022  4:53 PM,32.1,16.23,16.23
28720263.0,Finished,22 October 2022  4:22 PM,22 October 2022  4:54 PM,32.08,16.81,16.81
28709278.0,Finished,22 October 2022  4:24 PM,22 October 2022  6:24 PM,120.0,17.68,17.68
21115284.0,Finished,22 October 2022  4:25 PM,22 October 2022  5:04 PM,39.47,17.97,17.97
28603668.0,Finished,22 October 2022  4:25 PM,22 October 2022  6:18 PM,112.0,18.55,18.55
3800073.0,Finished,22 October 2022  4:25 PM,22 October 2022  6:25 PM,119.0,15.94,15.94
21221977.0,Finished,22 October 2022  4:26 PM,22 October 2022  5:19 PM,53.33,16.52,16.52
3800477.0,Finished,22 October 2022  4:27 PM,22 October 2022  6:22 PM,114.0,15.36,15.36
28712429.0,Finished,22 October 2022  4:29 PM,22 October 2022  6:29 PM,120.0,17.10,17.10
28606787.0,Finished,22 October 2022  4:29 PM,22 October 2022  6:29 PM,120.0,17.97,17.97
28708160.0,Finished,22 October 2022  4:30 PM,22 October 2022  6:30 PM,119.0,14.49,14.49
28602162.0,Finished,22 October 2022  4:30 PM,22 October 2022  6:30 PM,119.0,15.65,15.65
3704907.0,Finished,22 October 2022  4:32 PM,22 October 2022  5:31 PM,59.43,17.10,17.10
3702042.0,Finished,22 October 2022  4:32 PM,22 October 2022  5:15 PM,43.58,17.97,17.97
3801002.0,Finished,22 October 2022  4:33 PM,22 October 2022  6:16 PM,102.0,17.68,17.68
28602661.0,Finished,22 October 2022  4:33 PM,22 October 2022  6:30 PM,116.0,17.10,17.10
28607928.0,Finished,22 October 2022  4:37 PM,22 October 2022  6:30 PM,112.0,11.30,11.30
28707404.0,Finished,22 October 2022  4:38 PM,22 October 2022  5:03 PM,25.42,17.68,17.68
28602183.0,Finished,22 October 2022  4:39 PM,22 October 2022  6:08 PM,88.0,17.39,17.39
28626439.0,Finished,22 October 2022  4:40 PM,22 October 2022  6:30 PM,109.0,16.52,16.52
28720764.0,Finished,22 October 2022  4:43 PM,22 October 2022  5:05 PM,22.32,13.33,13.33
3702508.0,Finished,22 October 2022  4:43 PM,22 October 2022  5:37 PM,54.38,17.39,17.39
21113286.0,Finished,22 October 2022  4:45 PM,22 October 2022  6:27 PM,102.0,12.75,12.75
3971297.0,Finished,22 October 2022  4:55 PM,22 October 2022  6:20 PM,84.0,11.30,11.30
28712088.0,Finished,22 October 2022  4:56 PM,22 October 2022  5:31 PM,35.47,16.81,16.81
28711811.0,Finished,22 October 2022  4:58 PM,22 October 2022  6:05 PM,66.0,17.39,17.39
28616272.0,Finished,22 October 2022  4:58 PM,22 October 2022  5:36 PM,38.42,18.55,18.55
3804052.0,Finished,22 October 2022  5:01 PM,22 October 2022  6:30 PM,88.0,14.78,14.78
28709428.0,Finished,22 October 2022  5:04 PM,22 October 2022  5:24 PM,19.65,17.10,17.10
28706765.0,Finished,22 October 2022  5:08 PM,22 October 2022  6:30 PM,81.0,15.36,15.36
28712609.0,Finished,22 October 2022  5:10 PM,22 October 2022  6:29 PM,79.0,16.81,16.81
21208501.0,Finished,22 October 2022  5:13 PM,22 October 2022  6:12 PM,59.0,12.75,12.75
28712638.0,Finished,22 October 2022  5:17 PM,22 October 2022  5:36 PM,18.57,13.91,13.91
21200572.0,Finished,22 October 2022  5:30 PM,22 October 2022  6:29 PM,59.38,15.94,15.94
28602563.0,Finished,22 October 2022  5:31 PM,22 October 2022  6:03 PM,32.15,14.49,14.49
3673536.0,Finished,22 October 2022  5:37 PM,22 October 2022  6:28 PM,50.73,15.94,15.94
28607959.0,Finished,22 October 2022  5:42 PM,22 October 2022  6:29 PM,46.95,17.10,17.10
28716428.0,Finished,22 October 2022  5:44 PM,22 October 2022  6:23 PM,39.52,17.97,17.97
