ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /6.00,Q. 5 /1.00,Q. 6 /1.00
3677161.0,Finished,26 septembre 2021  2:25 ,26 septembre 2021  3:36 ,70.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28603418.0,Finished,23 septembre 2021  10:26 ,23 septembre 2021  11:08 ,42.43,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28607538.0,Finished,26 septembre 2021  11:06 ,26 septembre 2021  11:36 ,30.32,16.00,5.00,2.00,4.00,3.00,1.00,1.00
3810013.0,Finished,21 septembre 2021  9:27 ,21 septembre 2021  10:26 ,58.92,15.00,5.00,2.00,4.00,3.00,0.00,1.00
21109700.0,Finished,27 septembre 2021  12:44 ,27 septembre 2021  1:05 ,20.73,15.00,5.00,3.00,4.00,3.00,0.00,0.00
28610199.0,Finished,22 septembre 2021  2:08 ,22 septembre 2021  2:40 ,32.8,16.00,5.00,3.00,4.00,3.00,0.00,1.00
3407716.0,Finished,23 septembre 2021  2:46 ,23 septembre 2021  3:18 ,31.68,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28604190.0,Finished,26 septembre 2021  5:03 ,26 septembre 2021  5:28 ,25.2,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3674474.0,Finished,26 septembre 2021  11:45 ,27 septembre 2021  1:02 ,76.0,18.00,5.00,3.00,3.00,6.00,1.00,0.00
21113747.0,Finished,26 septembre 2021  4:30 ,26 septembre 2021  5:12 ,42.15,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3800028.0,Finished,26 septembre 2021  9:09 ,26 septembre 2021  9:31 ,22.08,11.56,0.56,3.00,4.00,3.00,1.00,0.00
28607117.0,Finished,26 septembre 2021  10:05 ,26 septembre 2021  10:38 ,33.53,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3800075.0,Finished,26 septembre 2021  1:58 ,26 septembre 2021  2:33 ,34.9,15.00,5.00,2.00,4.00,3.00,0.00,1.00
28619891.0,Finished,26 septembre 2021  4:34 ,26 septembre 2021  4:39 ,4.87,9.00,5.00,3.00,0.00,0.00,0.00,1.00
3506467.0,Finished,27 septembre 2021  10:48 ,27 septembre 2021  11:22 ,33.58,8.11,1.11,3.00,4.00,0.00,0.00,0.00
28600653.0,Finished,26 septembre 2021  11:43 ,26 septembre 2021  12:08 ,25.33,17.00,5.00,3.00,4.00,3.00,1.00,1.00
28610514.0,Finished,27 septembre 2021  9:43 ,27 septembre 2021  10:32 ,49.5,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28609831.0,Finished,26 septembre 2021  1:05 ,26 septembre 2021  1:35 ,30.1,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3702385.0,Finished,27 septembre 2021  3:55 ,27 septembre 2021  4:44 ,49.3,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28600759.0,Finished,26 septembre 2021  5:37 ,26 septembre 2021  6:34 ,56.2,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28607831.0,Finished,26 septembre 2021  7:36 ,26 septembre 2021  7:59 ,22.73,17.78,2.78,3.00,4.00,6.00,1.00,1.00
28620112.0,Finished,26 septembre 2021  7:54 ,26 septembre 2021  9:46 ,112.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
