ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
3872127.0,Finished,28 novembre 2021  10:33 ,29 novembre 2021  12:34 ,120.0,14.72,4.72,3.33,2.50,4.17
21113646.0,Finished,28 novembre 2021  10:07 ,28 novembre 2021  11:29 ,81.0,15.83,5.00,3.33,2.50,5.00
21102696.0,Finished,28 novembre 2021  7:39 ,28 novembre 2021  9:34 ,115.0,11.39,4.72,0.00,2.50,4.17
28709864.0,Finished,28 novembre 2021  8:20 ,28 novembre 2021  9:39 ,78.0,13.33,5.00,3.33,2.50,2.50
28716807.0,Finished,28 novembre 2021  10:04 ,28 novembre 2021  10:54 ,50.38,15.00,5.00,5.00,2.50,2.50
21112855.0,Finished,28 novembre 2021  7:24 ,28 novembre 2021  8:31 ,66.0,16.67,5.00,5.00,2.50,4.17
28600602.0,Finished,24 novembre 2021  4:21 ,24 novembre 2021  5:24 ,63.0,11.94,2.78,3.33,2.50,3.33
3809224.0,Finished,28 novembre 2021  7:45 ,28 novembre 2021  9:45 ,120.0,16.39,3.89,3.33,5.00,4.17
21104636.0,Finished,25 novembre 2021  9:40 ,25 novembre 2021  10:53 ,72.0,16.67,5.00,5.00,2.50,4.17
28600518.0,Finished,28 novembre 2021  3:18 ,28 novembre 2021  4:47 ,89.0,15.00,5.00,3.33,2.50,4.17
21113317.0,Finished,28 novembre 2021  9:02 ,28 novembre 2021  9:27 ,25.6,14.17,5.00,3.33,2.50,3.33
28636372.0,Finished,28 novembre 2021  9:38 ,28 novembre 2021  10:42 ,63.0,11.39,2.22,3.33,2.50,3.33
28602737.0,Finished,29 novembre 2021  12:32 ,29 novembre 2021  1:39 ,67.0,7.50,1.67,1.67,2.50,1.67
28600880.0,Finished,26 novembre 2021  9:03 ,26 novembre 2021  10:48 ,105.0,15.00,5.00,3.33,2.50,4.17
28603735.0,Finished,27 novembre 2021  5:20 ,27 novembre 2021  7:20 ,119.0,15.00,5.00,3.33,2.50,4.17
3805942.0,Finished,29 novembre 2021  3:25 ,29 novembre 2021  4:27 ,61.0,13.89,3.89,3.33,2.50,4.17
28605296.0,Finished,28 novembre 2021  6:29 ,28 novembre 2021  7:40 ,71.0,13.89,3.89,3.33,2.50,4.17
3808834.0,Finished,27 novembre 2021  11:55 ,27 novembre 2021  1:09 ,74.0,14.17,5.00,3.33,2.50,3.33
28009976.0,Finished,28 novembre 2021  10:21 ,28 novembre 2021  11:55 ,94.0,19.17,5.00,5.00,5.00,4.17
28606375.0,Finished,28 novembre 2021  7:19 ,28 novembre 2021  8:41 ,81.0,16.11,4.44,5.00,2.50,4.17
21109006.0,Finished,29 novembre 2021  8:51 ,29 novembre 2021  9:06 ,15.62,14.17,5.00,5.00,2.50,1.67
2800282.0,Finished,28 novembre 2021  7:48 ,28 novembre 2021  9:46 ,117.0,11.11,2.78,3.33,2.50,2.50
28717408.0,Finished,26 novembre 2021  6:10 ,26 novembre 2021  8:01 ,111.0,13.06,3.89,5.00,0.00,4.17
28610100.0,Finished,28 novembre 2021  11:04 ,28 novembre 2021  11:30 ,25.77,16.11,4.44,5.00,2.50,4.17
28607006.0,Finished,29 novembre 2021  9:27 ,29 novembre 2021  10:30 ,62.0,19.17,5.00,5.00,5.00,4.17
21120079.0,Finished,28 novembre 2021  5:39 ,28 novembre 2021  7:20 ,101.0,15.00,5.00,5.00,2.50,2.50
28617513.0,Finished,28 novembre 2021  9:00 ,28 novembre 2021  10:59 ,119.0,13.33,5.00,3.33,2.50,2.50
21112391.0,Finished,28 novembre 2021  4:57 ,28 novembre 2021  6:51 ,114.0,11.11,2.78,3.33,2.50,2.50
3800992.0,Finished,28 novembre 2021  11:09 ,29 novembre 2021  1:09 ,119.0,17.50,5.00,3.33,5.00,4.17
28705217.0,Finished,28 novembre 2021  6:10 ,28 novembre 2021  7:43 ,92.0,14.17,5.00,3.33,2.50,3.33
28600503.0,Finished,28 novembre 2021  6:42 ,28 novembre 2021  8:18 ,96.0,12.78,2.78,3.33,2.50,4.17
3801541.0,Finished,29 novembre 2021  1:26 ,29 novembre 2021  2:29 ,63.0,16.67,5.00,5.00,2.50,4.17
21119283.0,Finished,29 novembre 2021  9:57 ,29 novembre 2021  10:30 ,33.23,15.00,5.00,5.00,2.50,2.50
28600456.0,Finished,29 novembre 2021  2:33 ,29 novembre 2021  4:29 ,115.0,17.50,5.00,3.33,5.00,4.17
28606343.0,Finished,28 novembre 2021  7:02 ,28 novembre 2021  8:41 ,98.0,16.11,4.44,5.00,2.50,4.17
28618173.0,Finished,29 novembre 2021  12:37 ,29 novembre 2021  2:32 ,114.0,16.67,5.00,3.33,5.00,3.33
