ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.32,Q. 2 /0.80,Q. 3 /5.09,Q. 4 /11.79
28616494.0,Finished,14 December 2022  10:46 AM,14 December 2022  12:26 PM,100.0,19.86,2.32,0.80,5.00,11.73
28602815.0,Finished,14 December 2022  10:46 AM,14 December 2022  12:29 PM,102.0,19.28,2.32,0.67,4.55,11.73
28714617.0,Finished,14 December 2022  10:46 AM,14 December 2022  12:29 PM,103.0,17.88,2.24,0.67,5.09,9.88
28706128.0,Finished,14 December 2022  10:46 AM,14 December 2022  12:11 PM,84.0,16.26,2.32,0.67,5.09,8.18
28602563.0,Finished,14 December 2022  10:47 AM,14 December 2022  12:29 PM,102.0,14.61,2.32,0.80,5.00,6.48
28600470.0,Finished,14 December 2022  10:50 AM,14 December 2022  12:50 PM,120.0,12.94,2.32,0.80,4.82,4.99
28613143.0,Finished,14 December 2022  10:51 AM,14 December 2022  12:51 PM,120.0,13.44,1.89,0.80,4.46,6.28
28708078.0,Finished,14 December 2022  10:53 AM,14 December 2022  12:26 PM,93.0,19.85,2.32,0.80,5.09,11.63
28705957.0,Finished,14 December 2022  11:03 AM,14 December 2022  12:29 PM,86.0,8.58,0.17,0.67,3.93,3.81
28710097.0,Finished,14 December 2022  4:01 PM,14 December 2022  5:44 PM,102.0,16.31,2.32,0.80,5.00,8.18
21203528.0,Finished,14 December 2022  4:02 PM,14 December 2022  5:47 PM,105.0,12.13,2.32,0.80,5.09,3.91
28705835.0,Finished,14 December 2022  4:02 PM,14 December 2022  5:48 PM,106.0,16.40,2.32,0.80,5.09,8.18
28717249.0,Finished,14 December 2022  4:02 PM,14 December 2022  5:49 PM,107.0,13.91,1.72,0.67,5.09,6.43
28602183.0,Finished,14 December 2022  4:02 PM,14 December 2022  5:47 PM,104.0,14.63,2.24,0.67,5.09,6.64
28708160.0,Finished,14 December 2022  4:02 PM,14 December 2022  5:46 PM,103.0,16.35,2.32,0.80,5.09,8.13
28707475.0,Finished,14 December 2022  4:03 PM,14 December 2022  5:47 PM,104.0,14.54,2.15,0.80,5.00,6.59
21219706.0,Finished,14 December 2022  4:03 PM,14 December 2022  5:49 PM,106.0,12.13,1.63,0.80,4.91,4.79
3802503.0,Finished,14 December 2022  4:03 PM,14 December 2022  5:36 PM,93.0,11.79,0.60,0.54,5.09,5.56
28631085.0,Finished,14 December 2022  4:04 PM,14 December 2022  5:40 PM,96.0,20.00,2.32,0.80,5.09,11.79
28607959.0,Finished,14 December 2022  4:04 PM,14 December 2022  5:46 PM,101.0,14.52,2.24,0.80,5.00,6.48
21117173.0,Finished,14 December 2022  4:05 PM,14 December 2022  5:51 PM,106.0,14.25,1.72,0.80,5.09,6.64
28707889.0,Finished,14 December 2022  4:07 PM,14 December 2022  5:46 PM,99.0,16.16,2.32,0.67,5.09,8.08
28706346.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:20 PM,80.0,17.74,2.32,0.80,5.09,9.52
28604542.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:29 PM,89.0,16.40,2.32,0.80,5.09,8.18
3700291.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:19 PM,78.0,13.88,1.89,0.67,5.09,6.23
21213030.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:28 PM,88.0,16.02,2.24,0.67,5.09,8.03
21200572.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:45 PM,105.0,14.10,2.24,0.80,5.09,5.97
28718611.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:30 PM,90.0,16.26,2.24,0.80,5.09,8.13
28705068.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:11 PM,70.0,8.76,1.63,0.80,5.09,1.24
28712088.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:21 PM,80.0,16.22,2.24,0.80,5.00,8.18
28720888.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:15 PM,74.0,14.85,2.32,0.80,5.09,6.64
3804183.0,Finished,15 December 2022  6:00 PM,15 December 2022  6:53 PM,53.03,18.51,2.32,0.80,5.09,10.29
28711710.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:30 PM,90.0,13.59,2.06,0.80,4.29,6.43
28706745.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:29 PM,88.0,17.86,2.24,0.80,5.09,9.73
3704907.0,Finished,15 December 2022  6:00 PM,15 December 2022  7:28 PM,87.0,16.17,2.24,0.80,5.00,8.13
28729891.0,Finished,15 December 2022  6:01 PM,15 December 2022  7:33 PM,92.0,16.76,1.72,0.80,2.50,11.73
28708645.0,Finished,15 December 2022  6:01 PM,15 December 2022  7:19 PM,78.0,17.37,1.81,0.80,5.09,9.68
28707195.0,Finished,15 December 2022  6:01 PM,15 December 2022  7:26 PM,85.0,19.95,2.32,0.80,5.09,11.73
28711505.0,Finished,15 December 2022  6:02 PM,15 December 2022  7:37 PM,95.0,10.97,1.81,0.80,3.21,5.15
3803177.0,Finished,15 December 2022  6:24 PM,15 December 2022  7:28 PM,63.0,13.72,2.32,0.80,4.11,6.48
28630611.0,Finished,16 December 2022  10:17 AM,16 December 2022  12:17 PM,120.0,16.91,2.32,0.80,5.09,8.70
