ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
28700380.0,Finished,30 November 2022  10:53 AM,30 November 2022  12:04 PM,71.0,16.34,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
28705957.0,Finished,30 November 2022  10:53 AM,30 November 2022  12:13 PM,79.0,17.56,2.44,0.49,0.49,0.24,0.24,0.24,0.49,0.24,3.90,0.00,7.80,0.98
28602162.0,Finished,30 November 2022  10:56 AM,30 November 2022  12:15 PM,78.0,19.76,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,7.80,0.98
28706128.0,Finished,30 November 2022  11:05 AM,30 November 2022  12:05 PM,60.0,17.80,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
28626439.0,Finished,30 November 2022  11:45 AM,30 November 2022  12:14 PM,28.68,19.51,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.24,4.88,0.24,7.80,0.98
28600769.0,Finished,30 November 2022  11:47 AM,30 November 2022  12:14 PM,27.53,15.85,1.71,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
28707475.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:11 PM,49.63,19.02,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,7.80,0.98
28710097.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:10 PM,49.28,20.00,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,7.80,0.98
28607959.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:11 PM,50.15,19.51,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,7.80,0.98
28707756.0,Finished,30 November 2022  4:21 PM,30 November 2022  6:06 PM,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-,-
21117173.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:06 PM,44.38,19.02,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,7.80,0.98
28708160.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:09 PM,47.75,19.76,2.44,0.98,0.98,0.24,0.00,0.24,0.49,0.24,5.12,0.24,7.80,0.98
28707889.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:11 PM,49.5,19.02,1.71,0.73,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,7.80,0.98
28705835.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:05 PM,43.35,19.51,1.95,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,7.80,0.98
28631085.0,Finished,30 November 2022  4:21 PM,30 November 2022  5:10 PM,49.08,19.27,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,7.80,0.98
21203528.0,Finished,30 November 2022  4:22 PM,30 November 2022  5:07 PM,45.23,16.83,0.98,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.00,7.80,0.00
28717281.0,Finished,30 November 2022  4:22 PM,30 November 2022  5:06 PM,43.8,17.80,1.71,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.00,7.80,0.98
3802503.0,Finished,30 November 2022  4:25 PM,30 November 2022  5:01 PM,36.53,14.39,1.46,0.98,0.73,0.24,0.24,0.24,0.49,0.00,3.17,0.00,5.85,0.98
28602183.0,Finished,30 November 2022  4:35 PM,30 November 2022  5:15 PM,40.5,18.54,2.44,0.98,0.98,0.00,0.24,0.00,0.49,0.24,4.39,0.00,7.80,0.98
28706346.0,Finished,1 December 2022  6:00 PM,1 December 2022  6:36 PM,36.82,18.54,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,7.80,0.98
28706745.0,Finished,1 December 2022  6:00 PM,1 December 2022  6:57 PM,56.97,17.80,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
21115284.0,Finished,1 December 2022  6:00 PM,1 December 2022  7:15 PM,75.0,19.51,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,7.80,0.98
28711772.0,Finished,1 December 2022  6:00 PM,1 December 2022  6:47 PM,47.38,15.61,2.44,0.49,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,4.88,0.98
3700291.0,Finished,1 December 2022  6:00 PM,1 December 2022  6:33 PM,33.67,14.39,0.98,0.98,0.98,0.24,0.24,0.24,0.49,0.00,5.12,0.24,3.90,0.98
28707195.0,Finished,1 December 2022  6:00 PM,1 December 2022  7:11 PM,70.0,17.07,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.66,0.24,7.80,0.00
28604542.0,Finished,1 December 2022  6:00 PM,1 December 2022  7:02 PM,61.0,16.83,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.98
28708645.0,Finished,1 December 2022  6:00 PM,1 December 2022  7:02 PM,61.0,16.34,1.95,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.98
28709531.0,Finished,1 December 2022  6:00 PM,1 December 2022  6:55 PM,54.87,16.10,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,5.12,0.00,4.88,0.49
28720888.0,Finished,1 December 2022  6:00 PM,1 December 2022  6:56 PM,56.07,17.07,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,5.85,0.98
28712278.0,Finished,1 December 2022  6:01 PM,1 December 2022  6:35 PM,34.63,17.32,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28626896.0,Finished,1 December 2022  6:01 PM,1 December 2022  7:06 PM,65.0,16.59,2.20,0.73,0.98,0.24,0.24,0.24,0.24,0.24,5.12,0.00,5.85,0.49
21213030.0,Finished,1 December 2022  6:01 PM,1 December 2022  6:40 PM,38.8,19.02,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,4.63,0.00,7.80,0.98
28616272.0,Finished,1 December 2022  6:01 PM,1 December 2022  6:55 PM,54.07,18.78,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,6.83,0.98
28705068.0,Finished,1 December 2022  6:02 PM,1 December 2022  6:47 PM,45.52,16.83,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.49
3704907.0,Finished,1 December 2022  6:02 PM,1 December 2022  6:39 PM,36.47,15.61,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,4.88,0.24,3.90,0.98
28711505.0,Finished,1 December 2022  6:04 PM,1 December 2022  6:55 PM,51.12,14.63,1.95,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,4.88,0.00
21200572.0,Finished,1 December 2022  6:07 PM,1 December 2022  6:47 PM,39.62,19.27,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.24,4.63,0.24,7.80,0.98
3804183.0,Finished,1 December 2022  6:39 PM,1 December 2022  7:01 PM,22.38,17.32,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.49
